ProductID,StoreID,ReportDate,SalesCumulativeSum
92999278,1394831,2021-05-06,643.0
92999278,1394831,2021-05-08,643.0
92999278,1394831,2021-05-09,619.0
92999278,1394831,2021-05-10,398.0
92999278,1394831,2021-05-11,398.0
92999278,1394831,2021-05-13,398.0
92999278,1394831,2021-05-14,398.0
92999278,1394831,2021-05-15,398.0
92999278,1394831,2021-05-16,398.0
92999278,1394831,2021-05-17,398.0
92999278,1394831,2021-05-18,398.0
93291580,12545492,2021-04-23,0.0
93291580,12545492,2021-04-24,0.0
93291580,12545492,2021-04-25,0.0
93291580,12545492,2021-04-27,0.0
93291580,12545492,2021-04-30,0.0
93291580,12545492,2021-05-01,0.0
93291580,12545492,2021-05-04,0.0
93291580,12545492,2021-05-05,0.0
93291580,12545492,2021-05-06,0.0
93291580,12545492,2021-05-08,0.0
93291580,12545492,2021-05-09,0.0
93291580,12545492,2021-05-10,0.0
93291580,12545492,2021-05-11,0.0
93291580,12545492,2021-05-13,0.0
93291580,12545492,2021-05-14,0.0
93291580,12545492,2021-05-15,0.0
93291580,12545492,2021-05-16,0.0
93291580,12545492,2021-05-17,0.0
93291580,12545492,2021-05-18,0.0
95197183,11775782,2021-04-28,33.0
95197183,11775782,2021-04-29,33.0
95197183,11775782,2021-05-01,42.0
95197183,11775782,2021-05-04,66.0
95197183,11775782,2021-05-05,66.0
95197183,11775782,2021-05-06,63.0
95197183,11775782,2021-05-08,40.0
95197183,11775782,2021-05-09,37.0
95197183,11775782,2021-05-10,33.0
95197183,11775782,2021-05-11,33.0
95197183,11775782,2021-05-13,33.0
95197183,11775782,2021-05-14,33.0
95197183,11775782,2021-05-15,33.0
95197183,11775782,2021-05-16,33.0
95197183,11775782,2021-05-17,33.0
95197183,11775782,2021-05-18,33.0
95387889,12656836,2021-05-04,
95387889,12656836,2021-05-05,14811.0
95387889,12656836,2021-05-06,14811.0
95387889,12656836,2021-05-08,9075.0
95387889,12656836,2021-05-09,9075.0
95387889,12656836,2021-05-10,7789.0
95387889,12656836,2021-05-11,7801.0
95387889,12656836,2021-05-13,7830.0
95387889,12656836,2021-05-14,7843.0
95387889,12656836,2021-05-15,7850.0
95387889,12656836,2021-05-16,7879.0
95387889,12656836,2021-05-17,7883.0
95387889,12656836,2021-05-18,7900.0
96350920,12304361,2021-04-23,32.0
96350920,12304361,2021-04-24,35.0
96350920,12304361,2021-04-25,35.0
96350920,12304361,2021-04-26,35.0
96350920,12304361,2021-04-27,35.0
100023558,12621218,2021-04-24,9.0
100023558,12621218,2021-04-26,9.0
100023558,12621218,2021-04-27,9.0
100023558,12621218,2021-05-01,13.0
100023558,12621218,2021-05-04,17.0
100023558,12621218,2021-05-05,17.0
100023558,12621218,2021-05-06,11.0
100023558,12621218,2021-05-08,16.0
100023558,12621218,2021-05-09,16.0
100023558,12621218,2021-05-10,9.0
100023558,12621218,2021-05-11,9.0
100023558,12621218,2021-05-13,9.0
100023558,12621218,2021-05-14,9.0
100023558,12621218,2021-05-15,9.0
100023558,12621218,2021-05-16,9.0
100023558,12621218,2021-05-17,9.0
100023558,12621218,2021-05-18,9.0
102870111,12621218,2021-04-23,24.0
102870111,12621218,2021-04-24,24.0
102870111,12621218,2021-04-25,24.0
102870111,12621218,2021-04-26,24.0
102870111,12621218,2021-04-27,24.0
102870111,12621218,2021-04-28,24.0
102870111,12621218,2021-04-29,24.0
102870111,12621218,2021-05-01,30.0
102870111,12621218,2021-05-02,37.0
102870111,12621218,2021-05-03,37.0
102870111,12621218,2021-05-04,48.0
102870111,12621218,2021-05-05,48.0
102870111,12621218,2021-05-06,26.0
102870111,12621218,2021-05-08,35.0
102870111,12621218,2021-05-09,35.0
102870111,12621218,2021-05-10,24.0
102870111,12621218,2021-05-11,24.0
102870111,12621218,2021-05-13,24.0
102870111,12621218,2021-05-14,24.0
102870111,12621218,2021-05-15,24.0
102870111,12621218,2021-05-16,24.0
102870111,12621218,2021-05-17,24.0
102870111,12621218,2021-05-18,24.0
103215787,5423198,2021-04-23,287.0
103215787,5423198,2021-04-24,287.0
103215787,5423198,2021-04-25,287.0
103215787,5423198,2021-04-26,287.0
103215787,5423198,2021-04-27,287.0
103215787,5423198,2021-04-28,287.0
103215787,5423198,2021-04-29,287.0
103215787,5423198,2021-05-01,557.0
103215787,5423198,2021-05-03,557.0
103215787,5423198,2021-05-04,502.0
103215787,5423198,2021-05-05,544.0
103215787,5423198,2021-05-06,554.0
103215787,5423198,2021-05-08,554.0
103215787,5423198,2021-05-09,457.0
103215787,5423198,2021-05-10,287.0
103215787,5423198,2021-05-11,287.0
103215787,5423198,2021-05-13,287.0
103215787,5423198,2021-05-14,287.0
103215787,5423198,2021-05-15,287.0
103215787,5423198,2021-05-16,287.0
103215787,5423198,2021-05-17,287.0
103215787,5423198,2021-05-18,287.0
105931368,10066215,2021-04-23,414.0
105931368,10066215,2021-04-24,414.0
105931368,10066215,2021-04-25,414.0
105931368,10066215,2021-04-26,414.0
105931368,10066215,2021-04-27,414.0
105931368,10066215,2021-04-28,414.0
105931368,10066215,2021-04-29,414.0
105931368,10066215,2021-05-01,613.0
105931368,10066215,2021-05-02,815.0
105931368,10066215,2021-05-03,815.0
105931368,10066215,2021-05-04,738.0
105931368,10066215,2021-05-05,617.0
105931368,10066215,2021-05-06,733.0
105931368,10066215,2021-05-08,733.0
105931368,10066215,2021-05-09,481.0
105931368,10066215,2021-05-10,414.0
105931368,10066215,2021-05-11,414.0
105931368,10066215,2021-05-13,415.0
105931368,10066215,2021-05-14,415.0
105931368,10066215,2021-05-15,416.0
105931368,10066215,2021-05-16,416.0
105931368,10066215,2021-05-17,416.0
105931368,10066215,2021-05-18,416.0
109529543,6232198,2021-04-23,13.0
109529543,6232198,2021-04-24,13.0
109529543,6232198,2021-04-25,13.0
109529543,6232198,2021-04-26,13.0
109529543,6232198,2021-04-27,13.0
109529543,6232198,2021-04-28,13.0
109529543,6232198,2021-04-29,13.0
109529543,6232198,2021-05-01,21.0
109529543,6232198,2021-05-02,22.0
109529543,6232198,2021-05-03,22.0
109529543,6232198,2021-05-04,21.0
109529543,6232198,2021-05-05,25.0
109529543,6232198,2021-05-06,25.0
109529543,6232198,2021-05-08,22.0
109529543,6232198,2021-05-09,22.0
109529543,6232198,2021-05-10,13.0
109529543,6232198,2021-05-11,13.0
109529543,6232198,2021-05-13,13.0
109529543,6232198,2021-05-14,13.0
109529543,6232198,2021-05-15,13.0
109529543,6232198,2021-05-16,13.0
109529543,6232198,2021-05-17,13.0
109529543,6232198,2021-05-18,13.0
109861944,13890412,2021-04-29,2.0
114709835,12621218,2021-04-23,27.0
